Datum,1m
2021-09-09,3.50408708333333
2021-09-10,3.50408708333333
2021-09-11,3.50408708333333
2021-09-12,3.50408708333333
2021-09-13,0.362855541666667
2021-09-14,0.667828416666667
2021-09-15,1.29250566666667
2021-09-16,2.25407820833333
2021-09-17,2.01605029166667
2021-09-18,0.933457833333333
2021-09-19,0.6728175
2021-09-20,0.48105475
2021-09-21,0.32320625
2021-09-22,0.112358875
2021-09-23,-0.038686375
2021-09-24,-0.129050125
2021-09-25,-0.189724875
2021-09-26,-0.148605458333333
2021-09-27,-0.083983916666667
2021-09-28,-0.00585275
2021-09-29,0.260129208333333
2021-09-30,0.097409291666667
2021-10-01,-0.071114625
2021-10-02,-0.117456166666667
2021-10-03,-0.113634833333333
2021-10-04,-0.091190041666667
2021-10-05,0.105148208333333
2021-10-06,0.123927291666667
2021-10-07,-0.03965125
2021-10-08,-0.09725425
2021-10-09,-0.279146916666667
2021-10-10,-0.814061
2021-10-11,-1.542348625
2021-10-12,-2.152009375
2021-10-13,-2.54077929166667
2021-10-14,-2.84956770833333
2021-10-15,-2.871476375
2021-10-16,-2.83993241666667
2021-10-17,-2.99142070833333
2021-10-18,-3.02558733333333
2021-10-19,-2.59215
2021-10-20,-1.27360733333333
2021-10-21,-0.895573583333333
2021-10-22,-1.53122804166667
2021-10-23,-2.51131695833333
2021-10-24,-3.09454616666667
2021-10-25,-2.760530375
2021-10-26,-2.525782625
2021-10-27,-2.83589458333333
2021-10-28,-2.98665266666667
2021-10-29,-2.83314095833333
2021-10-30,-2.7243665
2021-10-31,-2.32824866666667
2021-11-01,-2.15285475
2021-11-02,-2.76706404166667
2021-11-03,-3.28879683333333
2021-11-04,-3.22491216666667
2021-11-05,-3.53783679166667
2021-11-06,-4.05293933333333
2021-11-07,-4.545207875
2021-11-08,-4.62451308333333
2021-11-09,-4.78788579166667
2021-11-10,-4.13835895833333
2021-11-11,-3.532351
2021-11-12,-3.32897504166667
2021-11-13,-3.214442875
2021-11-14,-2.99117079166667
2021-11-15,-3.027851
2021-11-16,-3.13144575
2021-11-17,-3.06084270833333
2021-11-18,-3.046554875
2021-11-19,-3.23114245833333
2021-11-20,-3.24651791666667
2021-11-21,-3.44376895833333
2021-11-22,-3.66023370833333
2021-11-23,-4.00096970833333
2021-11-24,-4.72377320833333
2021-11-25,-4.93393945833333
2021-11-26,-4.775085625
2021-11-27,-5.026041
2021-11-28,-5.07181066666667
2021-11-29,-5.03038645833333
2021-11-30,-5.40330129166667
2021-12-01,-5.82416241666667
2021-12-02,-5.79862691666667
2021-12-03,-6.41775604166667
2021-12-04,-6.85548408333333
2021-12-05,-6.65094804166667
2021-12-06,-6.85459870833333
2021-12-07,-6.91094725
2021-12-08,-7.174753875
2021-12-09,-7.06940558333333
2021-12-10,-7.403870625
2021-12-11,-7.833359
2021-12-12,-8.21510325
2021-12-13,-7.76385558333333
2021-12-14,-7.33589291666667
2021-12-15,-7.00138870833333
2021-12-16,-6.60771545833333
2021-12-17,-6.63711608333333
2021-12-18,-6.81570070833333
2021-12-19,-6.788424125
2021-12-20,-7.07851695833333
2021-12-21,-7.66483470833333
2021-12-22,-8.13633666666667
2021-12-23,-8.10866016666667
2021-12-24,-7.22361766666667
2021-12-25,-6.729528
2021-12-26,-6.54153675
2021-12-27,-6.435373875
2021-12-28,-6.45677016666667
2021-12-29,-6.45039583333333
2021-12-30,-5.748086875
2021-12-31,-5.21006345833333
2022-01-01,-5.22350104166667
2022-01-02,-4.94115108333333
2022-01-03,-4.95662583333333
2022-01-04,-5.08409325
2022-01-05,-5.18598758333333
2022-01-06,-7.04386370833333
2022-01-07,-7.80467433333333
2022-01-08,-8.48893175
2022-01-09,-8.53352708333333
2022-01-10,-8.84497729166667
2022-01-11,-8.97856729166667
2022-01-12,-9.472850625
2022-01-13,-9.43751408333333
2022-01-14,-8.423459375
2022-01-15,-7.753959375
2022-01-16,-7.633426375
2022-01-17,-8.129077375
2022-01-18,-8.62653825
2022-01-19,-8.38864441666667
2022-01-20,-8.69456483333333
2022-01-21,-9.87785929166667
2022-01-22,-10.0779032083333
2022-01-23,-9.786035625
2022-01-24,-9.59735520833334
2022-01-25,-9.167083125
2022-01-26,-8.9216795
2022-01-27,-8.94994408333334
2022-01-28,-9.11840879166667
2022-01-29,-9.654518625
2022-01-30,-8.86149870833333
2022-01-31,-9.375614125
2022-02-01,-10.134903
2022-02-02,-9.92391208333333
2022-02-03,-9.318308875
2022-02-04,-8.85157641666667
2022-02-05,-9.05181845833334
2022-02-06,-9.65126066666666
2022-02-07,-9.57256845833333
2022-02-08,-10.4523184166667
2022-02-09,-9.35874504166667
2022-02-10,-8.6
2022-02-11,-8.6
2022-02-12,-9.8
2022-02-13,-10.3
2022-02-14,-10.2
2022-02-15,-9.7
2022-02-16,-9.5
2022-02-17,-8.2
2022-02-18,-7.8
2022-02-19,-7.6
2022-02-20,-8.1
2022-02-21,-8.3
2022-02-22,-9.0
2022-02-23,-8.9
2022-02-24,-9.0
2022-02-25,-9.0
2022-02-26,-9.9
2022-02-27,-10.6
2022-02-28,-11.2
2022-03-01,-11.4994218333333
2022-03-02,-11.311218375
2022-03-03,-10.7263099166667
2022-03-04,-11.0159001666667
2022-03-05,-11.9726645833333
2022-03-06,-12.4850798333333
2022-03-07,-12.5607702916667
2022-03-08,-12.3046615416667
2022-03-09,-11.5868204166667
2022-03-10,-11.3089294583333
2022-03-11,-11.0080509583333
2022-03-12,-10.6577453333333
2022-03-13,-10.2260012083333
2022-03-14,-9.69286508333333
2022-03-15,-9.19969554166667
2022-03-16,-7.81376075
2022-03-17,-6.96131479166667
